DatabaseName,ParentSchema,ParentTable,ColumnName,ColumnOrder,DataType,ColumnSize,ConstraintType,ChildSchema,ChildTable,ChildColumn
,main,bids,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,bids,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,bids,job_id,2,integer,NULL,NULL,NULL,NULL,NULL
,main,bids,job_id,2,integer,NULL,FOREIGN KEY,main,gig_jobs,id
,main,bids,gig_worker_id,3,integer,NULL,NULL,NULL,NULL,NULL
,main,bids,gig_worker_id,3,integer,NULL,FOREIGN KEY,main,users,id
,main,bids,gig_worker_id,3,integer,NULL,FOREIGN KEY,main,users,id
,main,bids,bid_amount,4,numeric,NULL,NULL,NULL,NULL,NULL
,main,bids,proposal_message,5,text,NULL,NULL,NULL,NULL,NULL
,main,bids,estimated_days,6,integer,NULL,NULL,NULL,NULL,NULL
,main,bids,status,7,varchar,NULL,NULL,NULL,NULL,NULL
,main,bids,submitted_at,8,datetime,NULL,NULL,NULL,NULL,NULL
,main,bids,created_at,9,datetime,NULL,NULL,NULL,NULL,NULL
,main,bids,updated_at,10,datetime,NULL,NULL,NULL,NULL,NULL
,main,biometric_data,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,biometric_data,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,biometric_data,user_id,2,integer,NULL,NULL,NULL,NULL,NULL
,main,biometric_data,user_id,2,integer,NULL,FOREIGN KEY,main,users,id
,main,biometric_data,biometric_type,3,varchar,NULL,NULL,NULL,NULL,NULL
,main,biometric_data,biometric_hash,4,text,NULL,NULL,NULL,NULL,NULL
,main,biometric_data,metadata,5,text,NULL,NULL,NULL,NULL,NULL
,main,biometric_data,is_active,6,tinyint,1,NULL,NULL,NULL,NULL
,main,biometric_data,enrolled_at,7,datetime,NULL,NULL,NULL,NULL,NULL
,main,biometric_data,created_at,8,datetime,NULL,NULL,NULL,NULL,NULL
,main,biometric_data,updated_at,9,datetime,NULL,NULL,NULL,NULL,NULL
,main,cache,key,1,varchar,NULL,NULL,NULL,NULL,NULL
,main,cache,key,1,varchar,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,cache,key,1,varchar,NULL,UNIQUE,NULL,NULL,NULL
,main,cache,value,2,text,NULL,NULL,NULL,NULL,NULL
,main,cache,expiration,3,integer,NULL,NULL,NULL,NULL,NULL
,main,cache_locks,key,1,varchar,NULL,NULL,NULL,NULL,NULL
,main,cache_locks,key,1,varchar,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,cache_locks,key,1,varchar,NULL,UNIQUE,NULL,NULL,NULL
,main,cache_locks,owner,2,varchar,NULL,NULL,NULL,NULL,NULL
,main,cache_locks,expiration,3,integer,NULL,NULL,NULL,NULL,NULL
,main,contract_deadlines,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,contract_deadlines,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,contract_deadlines,contract_id,2,integer,NULL,NULL,NULL,NULL,NULL
,main,contract_deadlines,contract_id,2,integer,NULL,FOREIGN KEY,main,projects,id
,main,contract_deadlines,milestone_name,3,varchar,NULL,NULL,NULL,NULL,NULL
,main,contract_deadlines,due_date,4,date,NULL,NULL,NULL,NULL,NULL
,main,contract_deadlines,status,5,varchar,NULL,NULL,NULL,NULL,NULL
,main,contract_deadlines,reminder_sent,6,tinyint,1,NULL,NULL,NULL,NULL
,main,contract_deadlines,created_at,7,datetime,NULL,NULL,NULL,NULL,NULL
,main,contract_deadlines,updated_at,8,datetime,NULL,NULL,NULL,NULL,NULL
,main,contract_signatures,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,contract_signatures,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,contract_signatures,contract_id,2,integer,NULL,NULL,NULL,NULL,NULL
,main,contract_signatures,contract_id,2,integer,NULL,UNIQUE,NULL,NULL,NULL
,main,contract_signatures,contract_id,2,integer,NULL,FOREIGN KEY,main,contracts,id
,main,contract_signatures,user_id,3,integer,NULL,NULL,NULL,NULL,NULL
,main,contract_signatures,user_id,3,integer,NULL,UNIQUE,NULL,NULL,NULL
,main,contract_signatures,user_id,3,integer,NULL,FOREIGN KEY,main,users,id
,main,contract_signatures,full_name,4,varchar,NULL,NULL,NULL,NULL,NULL
,main,contract_signatures,role,5,varchar,NULL,NULL,NULL,NULL,NULL
,main,contract_signatures,ip_address,6,varchar,NULL,NULL,NULL,NULL,NULL
,main,contract_signatures,user_agent,7,text,NULL,NULL,NULL,NULL,NULL
,main,contract_signatures,signed_at,8,datetime,NULL,NULL,NULL,NULL,NULL
,main,contract_signatures,contract_version_hash,9,varchar,NULL,NULL,NULL,NULL,NULL
,main,contract_signatures,browser_info,10,text,NULL,NULL,NULL,NULL,NULL
,main,contract_signatures,device_type,11,varchar,NULL,NULL,NULL,NULL,NULL
,main,contract_signatures,created_at,12,datetime,NULL,NULL,NULL,NULL,NULL
,main,contract_signatures,updated_at,13,datetime,NULL,NULL,NULL,NULL,NULL
,main,contracts,id,1,integer,NULL,NULL,NULL,NULL,NULL
,main,contracts,id,1,integer,NULL,PRIMARY KEY,NULL,NULL,NULL
,main,contracts,contract_id,2,varchar,NULL,NULL,NULL,NULL,NULL
,main,contracts,contract_id,2,varchar,NULL,UNIQUE,NULL,NULL,NULL
,main,contracts,project_id,3,integer,NULL,NULL,NULL,NULL,NULL
,main,contracts,project_id,3,integer,NULL,FOREIGN KEY,main,projects,id
,main,contracts,employer_id,4,integer,NULL,NULL,NULL,NULL,NULL
,main,contracts,employer_id,4,integer,NULL,FOREIGN KEY,main,users,id
,main,contracts,gig_worker_id,5,integer,NULL,NULL,NULL,NULL,NULL
,main,contracts,gig_worker_id,5,integer,NULL,FOREIGN KEY,main,users,id
,main,contracts,job_id,6,integer,NULL,NULL,NULL,NULL,NULL
,main,contracts,job_id,6,integer,NULL,FOREIGN KEY,main,gig_jobs,id
,main,contracts,bid_id,7,integer,NULL,NULL,NULL,NULL,NULL
,main,contracts,bid_id,7,integer,NULL,FOREIGN KEY,main,bids,id
,main,contracts,scope_of_work,8,text,NULL,NULL,NULL,NULL,NULL
,main,contracts,total_payment,9,numeric,NULL,NULL,NULL,NULL,NULL
,main,contracts,contract_type,10,varchar,NULL,NULL,NULL,NULL,NULL
,main,contracts,project_start_date,11,date,NULL,NULL,NULL,NULL,NULL
,main,contracts,project_end_date,12,date,NULL,NULL,NULL,NULL,NULL
,main,contracts,employer_responsibilities,13,text,NULL,NULL,NULL,NULL,NULL
,main,contracts,gig_worker_responsibilities,14,text,NULL,NULL,NULL,NULL,NULL
,main,contracts,preferred_communication,15,varchar,NULL,NULL,NULL,NULL,NULL
,main,contracts,communication_frequency,16,varchar,NULL,NULL,NULL,NULL,NULL
,main,contracts,status,17,varchar,NULL,NULL,NULL,NULL,NULL
,main,contracts,gig_worker_signed_at,18,datetime,NULL,NULL,NULL,NULL,NULL
,main,contracts,employer_signed_at,19,datetime,NULL,NULL,NULL,NULL,NULL
,main,contracts,fully_signed_at,20,datetime,NULL,NULL,NULL,NULL,NULL
,main,contracts,pdf_path,21,varchar,NULL,NULL,NULL,NULL,NULL
